Id,Label,timeset,idlattes,componentnumber,N,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Nome
33,"[M, R, B, M]",,2047536712039793,2,,1,45,24,0,0,0,0,21,1,1,1,1,1,0,Mara Regina Bonini Marzari
34,"[R, R]",,2145471376587567,0,,1.80443,111,22,5,5,6,0,73,4,39,9,0.250704,0.317581,0.00853,Rafael Roehrs
35,"[D, R, K]",,2149739236717278,12,,0.15,2,1,0,1,0,0,0,0,0,0,0,0,0,Diego Rossi Kleinubing
36,"[F, P, C]",,2227489875439617,0,,0.230418,47,14,0,0,4,5,24,1,1,11,0.158929,0.191132,0,Fernando Passon Casagrande
37,"[O, M, T]",,2285888154281062,0,,1.39785,146,16,0,9,0,1,120,5,13,8,0.2225,0.283641,0.017463,Odete Messa Torres
38,"[L, S, C]",,2309155244128217,0,,1.25071,171,56,0,1,10,44,60,2,33,11,0.148581,0.186771,0.009446,Leticia Silveira Cardoso
39,"[D, T, F]",,2431890246253533,0,,0.669026,16,1,0,0,1,0,14,2,6,9,0.201357,0.249911,0.006526,Daniel Tassinari Felber
40,"[N, S, S]",,2447361827796110,13,,0.15,14,2,2,2,2,2,4,0,0,0,0,0,0,Natalia Sevilha Stofel
41,"[N, F, S, J]",,2679717808067927,0,,0.211119,98,4,0,1,0,0,93,1,1,10,0.183128,0.223025,0,Nelson Francisco Serrao Junior
42,"[C, A, O]",,2680182934751808,14,[A],0.15,56,21,1,0,6,7,21,0,0,0,0,0,0,Carlos Alexandre Oelke
43,"[J, B]",,2742168118237213,0,,0.811181,66,27,1,3,0,26,9,3,13,10,0.173489,0.228469,0.018678,Josefine Busanello
44,"[E, F, C, P]",,2760002240063004,0,,1.1901,67,21,13,11,10,0,12,8,32,8,0.276398,0.347392,0.045892,Edward Frederico Castro Pessano
45,"[P, E, B, F]",,2811224657299026,15,,0.15,66,7,0,0,0,16,43,0,0,0,0,0,0,Paulo Emilio Botura Ferreira
46,"[D, C, P, P]",,2834249723527323,16,,1,40,15,2,0,2,10,11,1,1,1,1,1,0,Debora da Cruz Payao Pellegrini
47,"[M, A, P]",,2897389126865192,0,[A],0.944213,78,21,0,1,9,17,30,4,15,9,0.197339,0.259047,0.008758,Marcia Adriana Poll
48,"[C, B, S]",,3006889738861726,17,,0.15,17,3,0,2,9,2,1,0,0,0,0,0,0,Carla Beatriz Spohr
49,"[L, D, B]",,3050045681034940,18,,0.15,14,11,0,0,0,1,2,0,0,0,0,0,0,Lidiane Dal Bosco
50,"[A, D]",,3080414309796385,0,[A],0.66036,31,4,0,0,0,3,24,6,15,8,0.236702,0.30111,0.021137,Anelise Dumke
51,"[M, E, T]",,3189945818846211,0,,0.672293,41,25,0,0,1,13,2,1,8,10,0.186192,0.227292,0,Maria Elisa Trost
52,"[R, C, S]",,3247616718779567,19,,0.15,19,1,0,2,1,7,8,0,0,0,0,0,0,Renata Colbeich da Silva
53,"[J, C, T, A]",,3268338503303216,3,[A],0.348947,2,1,0,0,0,0,1,1,1,2,0.666667,0.75,0,Joao Cleber Theodoro de Andrade
54,"[B, S]",,3289557948187134,0,,0.354649,64,18,0,0,8,19,19,6,10,9,0.2225,0.283846,0.026353,Bruna Stamm
55,"[F, S, M]",,3338405134728553,0,,0.877056,75,25,0,1,0,0,49,2,12,10,0.209412,0.255221,0.003913,Fernando Silveira Mesquita
56,"[L, B]",,3371279926465248,0,,0.634466,39,19,0,1,0,0,19,4,9,7,0.241848,0.294971,0.002906,Lisiane Bajerski
57,"[A, A, M, C]",,3488358978951622,0,"[A, A]",0.419564,69,42,1,6,14,3,3,7,12,9,0.209906,0.283538,0.010791,Antonio Adolfo Mattos de Castro
58,"[C, B, C]",,3971640516477035,20,,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Claudio Barzoni Crespo
59,"[J, G, P]",,3981501609402013,16,,1,96,26,0,1,1,35,33,1,1,1,1,1,0,Juliano Goncalves Pereira
60,"[F, E, B, S]",,3992443023418750,0,,0.967849,67,22,0,0,3,0,42,7,19,8,0.292763,0.36874,0.04499,Fabiana Ernestina Barcellos da Silva
61,"[E, F, Y]",,4273636582098573,0,,0.94772,99,8,0,0,8,1,82,6,17,9,0.210402,0.279793,0.008345,Eloa Ferreira Yamada
62,"[A, D, C]",,4297260102377031,0,[A],0.662269,22,7,0,0,0,5,10,1,5,11,0.157801,0.185514,0,Amarilis Diaz de Carvalho
63,"[D, S, A]",,4355211015887363,0,[A],1.55657,115,61,0,12,0,4,38,7,16,9,0.237968,0.326275,0.02794,Daiana Silva de Avila
64,"[L, P, S, M]",,4407288926136516,21,,1,5,1,0,0,0,0,4,1,3,1,1,1,0,Lucas Pitrez da Silva Mocellin
65,"[F, R, P]",,4455461576886254,0,,1.35336,92,22,0,1,0,7,62,9,30,8,0.288026,0.371736,0.028023,Favero Reisdorfer Paula
66,"[E, M, S, C]",,4480938481569672,0,,1.93695,57,16,0,1,0,9,31,9,32,9,0.223618,0.310023,0.029952,Eloa Maria dos Santos Chiquetti
67,"[M, N, E, U, P]",,4501105206228349,21,,1,56,19,0,3,6,0,28,1,3,1,1,1,0,Marilyn Nilda Esther Urrutia de Pereira
68,"[L, M, R]",,4569568927785852,0,,0.2448,62,21,0,0,0,1,40,1,1,10,0.192641,0.233775,0,Leonardo Magno Rambo
69,"[R, S, P]",,4622960738333181,22,,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Rafaela da Silveira Prestes
70,"[R, T]",,4636080248996522,0,,0.342941,78,24,0,1,2,4,47,7,11,10,0.188559,0.253509,0.000098,Roberto Thiesen
71,"[M, P, E]",,4714138643455131,0,,0.490979,26,15,0,0,0,0,11,1,2,12,0.137346,0.160148,0,Mauren Picada Emanuelli
72,"[F, P, C]",,4752530725363240,0,,0.414066,426,125,2,10,29,40,220,4,7,8,0.239247,0.304842,0.027437,Felipe Pivetta Carpes
73,"[L, F, S, O]",,4839195121781005,0,,1.96153,95,37,1,3,0,0,54,11,95,7,0.327206,0.40741,0.104509,Luis Flavio Souza de Oliveira
74,"[A, S]",,5054903220250339,0,[A],1.20242,239,64,0,4,13,86,72,5,10,8,0.220297,0.282517,0.01742,Andressa da Silveira
75,"[J, C, E, P]",,5099227329574183,0,,1.05817,190,39,0,6,1,7,137,6,32,6,0.295681,0.346442,0.049397,Jacqueline da Costa Escobar Piccoli
76,"[C, C, S]",,5133331455842344,0,,0.895648,40,16,0,0,0,5,19,2,13,9,0.194748,0.238233,0,Christian Caldeira Santos
77,"[J, L, M]",,5183171943913355,23,,0.15,21,4,1,5,5,2,4,0,0,0,0,0,0,Juliana Lopes de Macedo
78,"[V, A, M, S]",,5241460895903730,24,[A],0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanessa Alvez Mora da Silva
79,"[G, M, B]",,5292926299421569,25,,1,42,5,0,0,0,33,4,1,7,1,1,1,0,Guilherme de Medeiros Bastos
80,"[C, D, O, S]",,5400708933813339,0,,0.601768,146,27,0,0,0,17,102,5,8,7,0.252125,0.318566,0.01282,Cheila Denise Ottonelli Stopiglia
81,"[F, M, F]",,5421615151521751,0,,0.603069,81,9,1,1,1,12,57,5,18,6,0.297659,0.349251,0.073186,Fabiane Moreira Farias
82,"[A, C, C, S, P]",,5465578896737143,26,[A],0.15,24,3,0,3,4,4,10,0,0,0,0,0,0,Alexandre Crespo Coelho da Silva Pinto
