Id,Label,timeset,idlattes,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
163,Alvaro Luis Avila da Cunha,,8280027528821559,1.12593,18,3,0,2,8,3,2,2,26,1,1,1,0
164,Daniela Virote Kassick Muller,,9089314082593115,1.3507,27,7,0,1,1,7,11,4,48,7,0.251928,0.297886,73.790829
158,Letice Dalla Lana,,0413672548289485,1,65,26,0,0,6,19,14,2,212,1,1,1,0
166,Carlos Maximiliano Dutra,,8192273903900777,1,17,6,0,0,0,0,11,1,17,1,1,1,0
160,Fernanda Vargas Ferreira,,9150737299779719,1.36245,111,28,0,2,2,0,79,5,112,9,0.205451,0.268675,0.566667
155,Mirela Noro,,8978799324980898,1.0895,230,46,9,5,12,82,76,3,255,10,0.185958,0.233216,0
159,Claudia Acosta Duarte,,8519904598953344,2.33994,74,22,0,2,0,0,50,9,106,9,0.226852,0.311083,152
156,Rodrigo Jose Freddo,,9118206539574994,1,7,2,0,0,0,0,5,1,7,1,1,1,0
165,Fabiane Ferreira da Silva,,8442280124362170,1.7848,167,13,10,39,34,27,44,3,280,10,0.181818,0.216829,48
157,Marilia Teresa de Oliveira,,8345134253755342,1.74845,156,54,0,2,0,48,52,5,181,10,0.189189,0.252434,3
161,Morgana Duarte da Silva,,9224466302319645,1.59149,25,25,0,0,0,0,0,2,64,2,0.75,0.833333,0
168,Marco Aurelio Alves de Souza,,8606207704187820,1.27856,94,15,1,10,30,2,36,5,83,8,0.263441,0.318039,0
162,Debora Schlotefeldt Siniak,,8253689558366590,1.11706,61,10,0,0,0,26,25,3,70,10,0.194059,0.241521,0
143,Carlos Frederico Ceccon Lanes,,9300090274623517,0.392413,74,23,0,3,0,3,45,1,1,11,0.161716,0.184411,0
144,Alinne de Lima Bonetti,,9365069870272242,0.155513,46,10,5,16,13,0,2,2,2,11,0.154331,0.179645,0
145,Anali Martegani Ferreira,,9436487230121608,0.485442,43,6,0,7,0,9,21,3,4,7,0.248731,0.291084,353.405922
146,Jussara Mendes Lipinski,,9449772207314379,0.635173,37,12,0,1,3,9,12,3,8,9,0.198381,0.255276,15.283333
147,Catia Aline Veiverberg,,9474062270578041,1.52076,118,20,0,2,1,17,78,3,72,10,0.192913,0.235439,48
148,Luciana de Souza Nunes,,9481005095699614,1,75,23,0,2,1,1,48,1,1,1,1,1,0
149,Tanise Da Camara Jacques,,9668675171352534,0.15,1,0,0,0,0,0,1,0,0,0,0,0,0
150,Eliade Ferreira Lima,,9733812300029971,0.15,18,4,0,0,7,2,5,0,0,0,0,0,0
151,Mario Celso Sperotto Brum,,9761857774819478,0.686839,61,31,0,6,0,0,24,2,5,10,0.188825,0.239678,192
152,Maria Eduarda de Lima,,9880332007728108,0.434401,10,10,0,0,0,0,0,1,3,10,0.189555,0.22809,0
153,Marcus Vinicius Morini Querol,,9923685211581446,0.721085,95,15,4,9,1,13,53,7,26,8,0.273743,0.3444,395.4202
154,Valeria Goncalves Scangarelli,,8582667628347457,1,0,0,0,0,0,0,0,1,9,1,1,1,0
